vendor,model,model_series,reasoning_effort,n_records,n_calls,n_success_dashboard,n_failure_dashboard,n_excluded_dashboard,n_unfinalized_dashboard,success_rate_dashboard,failure_rate_dashboard,success_rate_over_all_calls,failure_rate_over_all_calls,n_success_is_success,n_fail_is_success,n_http_2xx,n_http_4xx_plus,n_status_null,group_min_created_at_cst,group_max_created_at_cst,sum_input_tokens,sum_cache_read_tokens,sum_cache_write_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_cache_read_tokens,avg_cache_write_tokens,avg_output_tokens,avg_total_tokens,sum_cost_usd,avg_cost_usd,avg_cost_success_dashboard,avg_cost_failure_dashboard,avg_cost_success_flag,avg_cost_failure_flag,sum_cost_input_base,sum_cost_cache_read_base,sum_cost_cache_write_base,sum_cost_output_base,sum_cost_input_billed,sum_cost_cache_read_billed,sum_cost_cache_write_billed,sum_cost_output_billed,sum_cost_breakdown_total,n_with_cost_breakdown,n_without_cost_breakdown,cache_hit_rate_token_weighted,cache_hit_rate_request_avg,p50_cost_usd,p90_cost_usd,max_cost_usd,stddev_cost_usd,p50_input_tokens,p90_input_tokens,max_input_tokens,stddev_input_tokens,p50_cache_read_tokens,p90_cache_read_tokens,max_cache_read_tokens,stddev_cache_read_tokens,p50_cache_write_tokens,p90_cache_write_tokens,max_cache_write_tokens,stddev_cache_write_tokens,p50_output_tokens,p90_output_tokens,max_output_tokens,stddev_output_tokens,p50_duration_ms,p90_duration_ms,max_duration_ms,stddev_duration_ms,p50_ttfb_ms,p90_ttfb_ms,max_ttfb_ms,stddev_ttfb_ms,n_duration_null,n_input_null,n_output_null,n_cache_read_null,n_cache_write_null,n_cost_null,n_cost_zero,n_cost_negative,n_negative_tokens,n_price_cloud_official,n_price_cloud_exact,n_price_local_manual,n_price_priority_fallback,n_price_source_null,most_common_price_source
openai,gpt-5.6-luna,gpt-luna,(unspecified),22963,22963,22078,591,279,15,0.973929,0.026071,0.961460,0.025737,22093,870,22078,870,15,2026-07-25 02:34:26,2026-09-16 11:03:18,294167154,2563318664,0,12832128,2870317946,12810.484431,111628.213387,0.000000,558.817576,124997.515394,206.0237267300,0.0089719865,0.0093316300,0.0000000000,0.0093252943,0.0000000000,94.1815716000,67.3113657800,0.0000000000,21.6506742000,105.1685086500,76.2998073800,0.0000000000,24.5554107000,206.0237267300,21841,1122,0.897054,0.865295,0.0050992800,0.0136862240,1.4707676000,0.0250155486,2721.000000,18502.600000,363221,35593.946520,118528.000000,205568.000000,360922,73328.819756,0.000000,0.000000,0,0.000000,318.000000,1167.000000,21256,944.889485,11625.000000,36513.200000,399186,22861.411125,4121.500000,17195.000000,171053,13037.842223,15,1121,1121,1261,22847,0,1122,0,0,21841,0,0,0,1122,cloud_official
openai,gpt-5.6-terra,gpt-terra,low,17590,17590,15744,1076,768,2,0.936029,0.063971,0.895054,0.061171,15746,1844,15744,1844,2,2026-08-07 14:00:43,2026-09-19 16:18:05,307759366,1100739459,1748462,2858712,1413105999,17496.268675,62577.570153,99.400910,162.519159,80335.758897,1489.7709182625,0.0846941966,0.0945179565,0.0015615351,0.0945059511,0.0009111777,781.0901170000,265.8559952000,4.4021181250,41.9746575000,1098.1026717500,328.6848573250,6.5833490625,56.4000401250,1489.7709182625,15795,1795,0.780529,0.708037,0.0378481250,0.1672763750,4.8457240000,0.2160686780,3012.500000,39061.300000,488840,44592.583270,34560.000000,178944.000000,392960,68923.205000,0.000000,0.000000,231208,3206.744781,73.000000,221.000000,20388,485.604964,7129.000000,55283.900000,453682,30215.178528,5361.000000,20534.000000,243095,17877.047183,2,1795,1795,1808,1971,0,1795,0,0,3964,0,11831,0,1795,local_manual
xai,grok-4.6,grok,high,16301,16301,15801,384,112,4,0.976274,0.023726,0.969327,0.023557,15807,494,15804,493,4,2026-08-22 19:10:06,2026-09-19 15:24:27,180514231,2060944512,0,12080439,2253539182,11073.813324,126430.557144,0.000000,741.085762,138245.456230,4717.1019385000,0.2893750039,0.2979775039,0.0000000000,0.2982408922,0.0056845243,468.6327200000,1422.0764160000,0.0000000000,84.5016660000,1120.3246830000,3386.2140080000,0.0000000000,205.9880235000,4712.5267145000,15804,497,0.919466,0.879970,0.1928200000,0.6092240000,4.3707120000,0.3118712337,1350.000000,16255.000000,466977,34975.952877,125824.000000,226688.000000,945536,83266.938711,0.000000,0.000000,0,0.000000,368.000000,1739.000000,128000,1650.193501,12537.000000,45403.800000,1497102,27841.669325,5043.000000,22020.500000,179306,14741.681334,4,497,497,497,16301,0,497,0,0,0,15804,0,0,497,cloud_exact
openai,gpt-5.5,gpt,high,15501,15501,13767,1083,641,10,0.927071,0.072929,0.888136,0.069866,13774,1727,13768,1724,9,2026-08-06 08:59:19,2026-09-19 15:29:51,221623413,1360727184,0,10862506,1593213103,14297.362299,87783.187149,0.000000,700.761628,102781.311077,3387.3672131250,0.2185257218,0.2460365829,0.0000000000,0.2459224956,0.0000178107,1119.6716750000,680.5454125000,0.0000000000,326.1541650000,1796.4713312500,1076.5665031250,0.0000000000,514.3293787500,3387.3672131250,13767,1734,0.859940,0.852557,0.1554310000,0.3950770000,7.4611337500,0.2999783143,5505.000000,23948.000000,415465,31872.926653,85248.000000,180480.000000,264032,64707.258397,0.000000,0.000000,0,0.000000,438.000000,1459.000000,18245,1065.878973,21315.000000,85714.500000,643759,36582.987755,14084.000000,52450.200000,294337,25232.325658,9,1734,1734,1748,1928,0,1734,0,0,13767,0,0,0,1734,cloud_official
openai,gpt-6-astra,gpt-astra,xhigh,15291,15291,12948,1311,1019,13,0.908058,0.091942,0.846773,0.085737,12957,2334,12948,2330,13,2026-09-05 15:17:15,2026-09-19 10:24:49,264749758,1032489563,278525,7119986,1304637832,17314.090511,67522.697208,18.214963,465.632464,85320.635145,5461.1321072500,0.3571468254,0.4214198061,0.0034999680,0.4211140670,0.0020381924,2697.3269600000,1038.5575020000,3.4815625000,357.0209250000,3576.9528300000,1407.2304897500,6.8892437500,470.0595437500,5461.1321072500,12946,2345,0.795742,0.797535,0.1853840000,0.8947860000,25.0039300000,0.6419058358,2925.000000,49557.000000,713723,37711.758230,54016.000000,162432.000000,393120,60940.715567,0.000000,0.000000,174835,1432.973390,197.000000,1091.000000,17413,891.229905,26777.500000,125002.300000,605744,50911.610306,17315.000000,70828.100000,556260,35722.006565,13,2345,2345,2358,2616,0,2345,0,0,12946,0,0,0,2345,cloud_official
openai,gpt-5.5,gpt,(unspecified),15093,15093,13446,600,1024,23,0.957283,0.042717,0.890877,0.039754,13469,1624,13446,1624,23,2026-07-25 02:02:02,2026-09-19 11:16:25,179617362,1309343934,0,8486574,1497447870,11900.706420,86751.734844,0.000000,562.285430,99214.726694,2668.0651237500,0.1767750032,0.1984281663,0.0000000000,0.1980893254,0.0000000000,899.6523925000,655.1451472500,0.0000000000,255.4431000000,1299.4065937500,987.4109925000,0.0000000000,381.2475375000,2668.0651237500,13427,1666,0.879367,0.851794,0.1181830000,0.3085820000,2.6362060000,0.2623638082,2511.000000,16940.400000,262675,32741.501826,81280.000000,186941.600000,246550,69705.003496,0.000000,0.000000,0,0.000000,322.000000,1204.000000,17501,919.207019,14769.500000,47567.300000,501049,29942.735552,7440.000000,24973.800000,185700,17364.576656,23,1660,1660,1774,14435,0,1666,0,0,13427,0,0,0,1666,cloud_official
openai,gpt-5.6-luna,gpt-luna,max,14098,14098,13460,604,32,2,0.957053,0.042947,0.954745,0.042843,13462,636,13460,636,2,2026-08-06 21:28:59,2026-08-25 12:39:07,160411767,1735707904,0,9085600,1905205271,11378.335012,123117.314796,0.000000,644.460207,135140.110016,165.1159640400,0.0117120133,0.0122671593,0.0000000000,0.0122653368,0.0000000000,34.2532422000,37.2856012800,0.0000000000,11.7156120000,67.8456954000,74.0507750400,0.0000000000,23.2194936000,165.1159640400,13459,639,0.915400,0.899154,0.0088516000,0.0167576480,0.2250113600,0.0158743263,2694.500000,13049.600000,259033,35448.611806,130816.000000,217856.000000,246528,73565.967225,0.000000,0.000000,0,0.000000,413.000000,1327.300000,16748,945.879096,12190.500000,34476.500000,903102,21491.359251,5465.000000,14010.600000,149542,9606.139954,2,639,639,662,668,0,639,0,0,13459,0,0,0,639,cloud_official
openai,gpt-5.5,gpt,xhigh,13811,13811,12638,590,577,6,0.955398,0.044602,0.915068,0.042720,12644,1167,12638,1167,6,2026-08-06 10:41:30,2026-09-19 10:40:14,250212015,1385704571,0,14699964,1650616550,18116.864456,100333.398813,0.000000,1064.366375,119514.629643,4026.9322895000,0.2915742734,0.3186205646,0.0003484636,0.3184693686,0.0001761727,1261.2101850000,693.0997830000,0.0000000000,441.6961500000,2129.1203025000,1176.2354495000,0.0000000000,721.5765375000,4026.9322895000,12632,1179,0.847051,0.839738,0.2057370000,0.5827140000,7.2535260000,0.3572918916,7749.000000,39324.000000,388291,35873.132829,103915.000000,190000.000000,259840,67273.283842,0.000000,0.000000,0,0.000000,401.000000,2298.000000,42564,2416.208320,22752.000000,105845.800000,975727,57927.395205,16068.000000,72128.400000,751719,48356.024281,6,1179,1179,1186,1259,0,1179,0,0,12632,0,0,0,1179,cloud_official
openai,gpt-5.4,gpt,(unspecified),11367,11367,11064,108,186,9,0.990333,0.009667,0.973344,0.009501,11073,294,11064,294,9,2026-07-25 02:10:04,2026-09-05 18:17:40,58200159,442797863,0,2846872,503844894,5120.098443,38954.681358,0.000000,250.450603,44325.230404,516.1439538125,0.0454072274,0.0466507550,0.0000000000,0.0466128379,0.0000000000,150.8682050000,111.7955437500,0.0000000000,42.7522500000,244.7338668750,194.6079944375,0.0000000000,76.8020925000,516.1439538125,11023,344,0.883832,0.559080,0.0013350000,0.1148856000,1.9810900000,0.1155529916,200.000000,6787.000000,389801,23924.735184,224.000000,152448.000000,375977,64068.732912,0.000000,0.000000,0,0.000000,45.000000,594.000000,24842,757.958771,6882.500000,20351.400000,515788,18382.689489,4144.000000,9799.000000,128320,6497.455701,9,304,304,3042,9317,0,344,0,0,11060,0,0,0,307,cloud_official
openai,gpt-6-astra,gpt-astra,high,7650,7650,6514,759,362,15,0.895641,0.104359,0.851503,0.099216,6527,1123,6514,1121,15,2026-09-05 21:18:08,2026-09-19 16:18:54,136104386,591112007,649538,3979781,731845712,17791.423007,77269.543399,84.906928,520.232810,95666.106144,3538.5159117500,0.4625510996,0.5426931951,0.0044959671,0.5415872739,0.0031841273,1375.0347000000,591.8850580000,8.1192250000,199.3085750000,2182.8901500000,1012.0195117500,14.2086437500,329.3976062500,3538.5159117500,6514,1136,0.812117,0.795613,0.2743915000,1.0150044500,14.2316200000,0.7210807710,2711.500000,48192.700000,348568,39454.240762,62720.000000,183094.000000,297984,68625.065706,0.000000,0.000000,194292,3140.200270,223.000000,1225.300000,16664,966.678368,24139.000000,115911.200000,582094,46039.340366,12995.000000,57269.000000,358108,28367.678288,15,1136,1136,1139,1247,0,1136,0,0,6514,0,0,0,1136,cloud_official
